vp_id,age,gender,block,trial,correct_key,reaction_time,target,key,size
01,68,m,1,1,True,1.3735,human,a,8
01,68,m,1,2,True,1.9724,primate,l,8
01,68,m,1,3,True,3.1355,primate,l,16
01,68,m,1,4,True,0.9917,human,a,16
01,68,m,1,5,True,2.6125,primate,l,36
01,68,m,1,6,True,1.782,primate,l,8
01,68,m,1,7,True,1.8416,human,a,8
01,68,m,1,8,True,4.4397,human,a,36
01,68,m,1,9,True,1.4837,human,a,36
01,68,m,1,10,True,3.9141,human,a,36
01,68,m,1,11,True,2.1533,human,a,36
01,68,m,1,12,True,2.4379,human,a,16
01,68,m,1,13,True,2.3829,primate,l,8
01,68,m,1,14,True,4.7951,primate,l,36
01,68,m,1,15,True,2.3759,primate,l,8
01,68,m,1,16,True,3.6083,human,a,36
01,68,m,1,17,True,2.7663,primate,l,8
01,68,m,1,18,True,3.298,primate,l,16
01,68,m,1,19,True,2.4909,primate,l,8
01,68,m,1,20,True,1.4899,human,a,16
01,68,m,1,21,True,0.9649,human,a,16
01,68,m,1,22,True,3.941,primate,l,36
01,68,m,1,23,True,3.3718,primate,l,16
01,68,m,1,24,True,2.1694,human,a,36
01,68,m,1,25,True,2.1573,primate,l,8
01,68,m,1,26,True,1.756,primate,l,8
01,68,m,1,27,True,2.31,primate,l,8
01,68,m,1,28,True,4.4891,primate,l,36
01,68,m,1,29,True,2.2404,primate,l,8
01,68,m,1,30,True,0.8827,human,a,8
01,68,m,1,31,True,1.2036,human,a,8
01,68,m,1,32,True,5.0373,human,a,36
01,68,m,1,33,True,0.9214,human,a,8
01,68,m,1,34,True,2.3453,human,a,16
01,68,m,1,35,True,0.9257,human,a,8
01,68,m,1,36,True,0.7562,human,a,36
01,68,m,1,37,True,1.3159,human,a,36
01,68,m,1,38,True,3.2298,human,a,16
01,68,m,1,39,False,6.1501,primate,a,36
01,68,m,1,40,True,2.9777,primate,l,8
01,68,m,1,41,True,2.157,human,a,8
01,68,m,1,42,True,2.3614,primate,l,8
01,68,m,1,43,True,1.1679,human,a,16
01,68,m,1,44,True,2.5825,primate,l,8
01,68,m,1,45,True,2.8617,human,a,8
01,68,m,2,1,True,2.5956,human,a,16
01,68,m,2,2,True,5.0865,primate,l,36
01,68,m,2,3,True,1.6312,human,a,16
01,68,m,2,4,True,2.2689,primate,l,8
01,68,m,2,5,True,2.0769,human,a,36
01,68,m,2,6,True,2.3371,primate,l,8
01,68,m,2,7,True,1.8893,human,a,8
01,68,m,2,8,True,4.7123,primate,l,16
01,68,m,2,9,True,1.0066,human,a,36
01,68,m,2,10,True,3.6671,primate,l,16
01,68,m,2,11,True,2.4459,primate,l,8
01,68,m,2,12,True,2.4577,human,a,8
01,68,m,2,13,True,1.3318,human,a,16
01,68,m,2,14,True,2.3368,primate,l,8
01,68,m,2,15,True,1.082,human,a,36
01,68,m,2,16,True,1.5976,human,a,16
01,68,m,2,17,True,1.8017,human,a,8
01,68,m,2,18,True,1.1747,human,a,36
01,68,m,2,19,True,1.1006,human,a,16
01,68,m,2,20,True,2.3495,human,a,16
01,68,m,2,21,True,0.616,human,a,8
01,68,m,2,22,True,4.0792,primate,l,16
01,68,m,2,23,True,5.3904,primate,l,36
01,68,m,2,24,True,3.8619,primate,l,16
01,68,m,2,25,True,3.7549,primate,l,16
01,68,m,2,26,True,3.2915,primate,l,16
01,68,m,2,27,True,2.6749,primate,l,16
01,68,m,2,28,True,2.1074,primate,l,8
01,68,m,2,29,True,3.415,human,a,36
01,68,m,2,30,True,2.2283,primate,l,8
01,68,m,2,31,True,3.2573,primate,l,16
01,68,m,2,32,True,3.4443,primate,l,36
01,68,m,2,33,True,2.3063,primate,l,8
01,68,m,2,34,True,2.281,primate,l,8
01,68,m,2,35,True,1.2164,human,a,8
