vp_id,age,gender,block,trial,correct_key,reaction_time,target,key,size
11,27,w,1,1,True,2.5453,human,a,36
11,27,w,1,2,True,0.747,human,a,8
11,27,w,1,3,True,1.7642,primate,l,16
11,27,w,1,4,True,0.9115,human,a,8
11,27,w,1,5,True,2.2606,primate,l,16
11,27,w,1,6,True,0.8651,human,a,16
11,27,w,1,7,True,1.9789,primate,l,16
11,27,w,1,8,True,1.3076,primate,l,8
11,27,w,1,9,True,3.3838,human,a,36
11,27,w,1,10,True,0.8057,human,a,16
11,27,w,1,11,True,1.6718,primate,l,8
11,27,w,1,12,True,4.2361,primate,l,36
11,27,w,1,13,False,1.4605,human,l,8
11,27,w,1,14,True,3.5722,primate,l,36
11,27,w,1,15,True,2.3175,primate,l,8
11,27,w,1,16,True,3.1969,primate,l,16
11,27,w,1,17,True,1.0746,human,a,8
11,27,w,1,18,True,2.2755,human,a,36
11,27,w,1,19,True,0.9128,human,a,8
11,27,w,1,20,True,2.5957,primate,l,16
11,27,w,1,21,True,1.2642,primate,l,8
11,27,w,1,22,True,0.8503,human,a,36
11,27,w,1,23,True,1.2776,primate,l,8
11,27,w,1,24,True,1.3433,human,a,8
11,27,w,1,25,True,3.6287,primate,l,36
11,27,w,1,26,True,1.4265,primate,l,8
11,27,w,1,27,True,3.1801,human,a,36
11,27,w,1,28,True,0.8546,human,a,36
11,27,w,1,29,True,1.1897,human,a,8
11,27,w,1,30,True,1.4572,primate,l,8
11,27,w,1,31,True,0.6035,human,a,8
11,27,w,1,32,True,0.9412,human,a,8
11,27,w,1,33,True,1.1544,primate,l,8
11,27,w,1,34,True,0.6059,human,a,8
11,27,w,1,35,True,3.1077,human,a,36
11,27,w,1,36,True,1.7091,human,a,36
11,27,w,1,37,True,1.5378,human,a,36
11,27,w,1,38,True,2.5187,primate,l,36
11,27,w,1,39,True,0.8411,human,a,16
11,27,w,1,40,True,3.5469,primate,l,36
11,27,w,1,41,True,0.9712,human,a,8
11,27,w,1,42,True,2.8484,primate,l,16
11,27,w,1,43,True,1.6861,human,a,36
11,27,w,1,44,True,1.9537,primate,l,8
11,27,w,1,45,True,0.9083,human,a,36
11,27,w,2,1,True,1.297,human,a,36
11,27,w,2,2,True,1.7186,primate,l,8
11,27,w,2,3,True,2.8155,human,a,36
11,27,w,2,4,True,3.819,primate,l,36
11,27,w,2,5,True,3.3831,primate,l,36
11,27,w,2,6,True,2.0335,human,a,16
11,27,w,2,7,True,3.4522,primate,l,36
11,27,w,2,8,True,0.8292,human,a,8
11,27,w,2,9,True,1.2261,human,a,16
11,27,w,2,10,True,1.4407,primate,l,8
11,27,w,2,11,True,0.6471,human,a,16
11,27,w,2,12,True,2.8069,primate,l,36
11,27,w,2,13,True,2.3591,primate,l,16
11,27,w,2,14,True,1.0015,human,a,16
11,27,w,2,15,True,0.9174,human,a,8
11,27,w,2,16,True,0.8162,human,a,8
11,27,w,2,17,True,2.8032,primate,l,36
11,27,w,2,18,True,0.8896,human,a,36
11,27,w,2,19,True,1.4772,human,a,36
11,27,w,2,20,True,0.9435,human,a,8
11,27,w,2,21,True,0.8252,human,a,8
11,27,w,2,22,True,3.2737,primate,l,36
11,27,w,2,23,True,0.8146,human,a,16
11,27,w,2,24,True,1.5946,human,a,16
11,27,w,2,25,True,3.057,human,a,36
11,27,w,2,26,True,0.7239,human,a,8
11,27,w,2,27,True,0.8563,human,a,16
11,27,w,2,28,True,2.3532,primate,l,16
11,27,w,2,29,True,1.7003,human,a,36
11,27,w,2,30,True,2.5877,primate,l,36
11,27,w,2,31,True,3.4348,primate,l,36
11,27,w,2,32,True,0.7771,human,a,8
11,27,w,2,33,True,1.1455,human,a,36
11,27,w,2,34,True,3.3103,primate,l,36
11,27,w,2,35,True,0.8486,human,a,8
11,27,w,2,36,True,0.9774,human,a,36
11,27,w,2,37,True,1.9581,primate,l,16
11,27,w,2,38,True,1.4306,human,a,8
11,27,w,2,39,True,0.7635,human,a,36
11,27,w,2,40,True,1.7626,primate,l,16
11,27,w,2,41,True,1.788,human,a,36
11,27,w,2,42,True,1.5308,primate,l,8
11,27,w,2,43,True,2.7497,primate,l,36
11,27,w,2,44,True,2.4267,human,a,16
11,27,w,2,45,True,1.038,human,a,16
11,27,w,3,1,True,1.0046,human,a,8
11,27,w,3,2,True,2.0415,primate,l,36
11,27,w,3,3,True,2.8354,primate,l,36
11,27,w,3,4,True,0.7669,human,a,8
11,27,w,3,5,True,0.8225,human,a,8
11,27,w,3,6,True,0.9324,primate,l,8
11,27,w,3,7,True,0.7571,human,a,36
11,27,w,3,8,True,0.7209,human,a,16
11,27,w,3,9,True,1.1813,human,a,16
11,27,w,3,10,True,1.0831,human,a,16
11,27,w,3,11,True,2.883,primate,l,36
11,27,w,3,12,True,1.5914,primate,l,8
11,27,w,3,13,False,2.571,human,l,36
11,27,w,3,14,True,1.7641,primate,l,36
11,27,w,3,15,True,1.1332,human,a,8
11,27,w,3,16,True,0.4859,human,a,16
11,27,w,3,17,True,1.9184,primate,l,36
11,27,w,3,18,True,1.7814,primate,l,16
11,27,w,3,19,True,1.5276,human,a,16
11,27,w,3,20,True,0.95,human,a,36
11,27,w,3,21,True,2.4021,primate,l,36
11,27,w,3,22,True,2.5322,primate,l,36
11,27,w,3,23,True,0.6015,human,a,16
11,27,w,3,24,True,1.161,human,a,36
11,27,w,3,25,True,0.8872,human,a,8
11,27,w,3,26,True,0.8688,human,a,36
11,27,w,3,27,True,2.0548,primate,l,36
11,27,w,3,28,True,0.8693,human,a,8
11,27,w,3,29,True,1.9061,human,a,16
11,27,w,3,30,True,2.1866,primate,l,36
11,27,w,3,31,True,1.5914,primate,l,16
11,27,w,3,32,True,1.0869,human,a,8
11,27,w,3,33,True,0.6297,human,a,8
11,27,w,3,34,True,2.1952,human,a,16
11,27,w,3,35,True,0.5756,human,a,36
11,27,w,3,36,True,0.5089,human,a,8
11,27,w,3,37,True,0.6907,human,a,16
11,27,w,3,38,True,1.648,primate,l,8
11,27,w,3,39,True,1.7431,primate,l,16
11,27,w,3,40,True,2.2145,primate,l,36
11,27,w,3,41,True,0.7728,human,a,16
11,27,w,3,42,True,1.2293,primate,l,16
11,27,w,3,43,True,1.0141,human,a,8
11,27,w,3,44,True,1.8461,primate,l,16
11,27,w,3,45,True,2.5538,primate,l,36
11,27,w,4,1,True,1.7152,human,a,36
11,27,w,4,2,True,1.2204,human,a,16
11,27,w,4,3,True,0.6324,human,a,8
11,27,w,4,4,True,0.6321,human,a,16
11,27,w,4,5,False,1.8773,human,l,36
11,27,w,4,6,True,1.4317,human,a,36
11,27,w,4,7,True,2.4775,human,a,16
11,27,w,4,8,True,0.6119,human,a,8
11,27,w,4,9,True,2.7184,primate,l,16
11,27,w,4,10,True,1.5817,human,a,36
11,27,w,4,11,True,1.7193,human,a,16
11,27,w,4,12,True,2.4735,primate,l,36
11,27,w,4,13,False,1.4895,human,l,8
