vp_id,age,gender,block,trial,correct_key,reaction_time,target,key,size
10,24,m,1,1,True,1.8687,human,a,16
10,24,m,1,2,True,0.9243,human,a,16
10,24,m,1,3,True,3.8722,primate,l,8
10,24,m,1,4,True,2.0175,human,a,8
10,24,m,1,5,True,3.3287,primate,l,36
10,24,m,1,6,True,1.3629,human,a,36
10,24,m,1,7,True,0.7355,human,a,16
10,24,m,1,8,True,1.5821,primate,l,8
10,24,m,1,9,True,0.6195,human,a,36
10,24,m,1,10,True,2.9422,primate,l,16
10,24,m,1,11,True,0.858,human,a,8
10,24,m,1,12,True,0.8172,human,a,8
10,24,m,1,13,True,2.621,primate,l,16
10,24,m,1,14,True,0.8995,human,a,36
10,24,m,1,15,True,2.3351,human,a,36
10,24,m,1,16,False,1.3355,primate,a,8
10,24,m,1,17,True,1.7906,human,a,16
10,24,m,1,18,True,1.2982,primate,l,8
10,24,m,1,19,True,0.9126,human,a,16
10,24,m,1,20,True,1.326,primate,l,16
10,24,m,1,21,True,0.4728,human,a,16
10,24,m,1,22,True,1.2922,human,a,16
10,24,m,1,23,True,0.455,human,a,8
10,24,m,1,24,True,2.1868,primate,l,8
10,24,m,1,25,True,1.3445,human,a,36
10,24,m,1,26,True,3.4194,primate,l,36
10,24,m,1,27,False,0.8368,human,l,36
10,24,m,1,28,True,0.6634,human,a,16
10,24,m,1,29,True,2.0378,primate,l,8
10,24,m,1,30,True,0.8111,human,a,8
10,24,m,1,31,True,0.8562,human,a,16
10,24,m,1,32,True,1.9797,primate,l,8
10,24,m,1,33,True,3.933,primate,l,36
10,24,m,1,34,True,0.9381,primate,l,8
10,24,m,1,35,True,1.0889,human,a,8
10,24,m,1,36,True,2.1612,primate,l,16
10,24,m,1,37,True,3.1062,primate,l,8
10,24,m,1,38,True,2.3836,primate,l,16
10,24,m,1,39,True,2.8175,primate,l,16
10,24,m,1,40,True,1.3143,human,a,16
10,24,m,1,41,True,2.6371,primate,l,8
10,24,m,1,42,True,2.426,primate,l,16
10,24,m,1,43,False,2.7927,human,l,36
10,24,m,1,44,True,1.1783,primate,l,8
10,24,m,1,45,True,2.894,primate,l,36
10,24,m,2,1,True,2.605,primate,l,8
10,24,m,2,2,True,1.2925,human,a,36
10,24,m,2,3,True,3.2261,primate,l,16
10,24,m,2,4,True,2.4584,primate,l,16
10,24,m,2,5,True,0.9137,human,a,36
10,24,m,2,6,True,0.6349,human,a,16
10,24,m,2,7,True,0.4906,human,a,8
10,24,m,2,8,True,3.1771,primate,l,36
10,24,m,2,9,True,5.8001,primate,l,36
10,24,m,2,10,True,1.0441,primate,l,8
10,24,m,2,11,True,0.5281,human,a,36
10,24,m,2,12,True,2.1538,primate,l,16
10,24,m,2,13,True,2.7997,primate,l,8
10,24,m,2,14,True,3.7216,primate,l,36
10,24,m,2,15,True,0.8787,human,a,8
10,24,m,2,16,True,2.6553,primate,l,36
10,24,m,2,17,True,0.6218,human,a,8
10,24,m,2,18,True,0.9879,human,a,36
10,24,m,2,19,True,4.1128,primate,l,36
10,24,m,2,20,True,1.5273,primate,l,16
10,24,m,2,21,True,0.5579,human,a,16
10,24,m,2,22,True,1.533,human,a,36
10,24,m,2,23,True,2.3819,primate,l,36
10,24,m,2,24,True,1.4435,primate,l,8
10,24,m,2,25,True,1.368,human,a,16
10,24,m,2,26,True,1.5567,primate,l,8
10,24,m,2,27,True,0.499,human,a,8
10,24,m,2,28,True,1.7568,primate,l,8
10,24,m,2,29,True,1.5528,primate,l,16
10,24,m,2,30,True,1.343,primate,l,8
10,24,m,2,31,True,1.6021,human,a,36
10,24,m,2,32,True,2.202,primate,l,36
10,24,m,2,33,True,2.5963,human,a,36
10,24,m,2,34,True,0.535,human,a,36
10,24,m,2,35,True,3.7302,primate,l,36
10,24,m,2,36,True,1.1296,primate,l,8
10,24,m,2,37,True,0.6473,human,a,36
10,24,m,2,38,True,3.0937,primate,l,36
10,24,m,2,39,True,2.7636,primate,l,36
10,24,m,2,40,True,0.7538,human,a,36
10,24,m,2,41,True,1.8506,primate,l,16
10,24,m,2,42,True,1.8509,primate,l,16
10,24,m,2,43,True,1.5149,primate,l,16
10,24,m,2,44,True,4.8225,primate,l,36
10,24,m,2,45,True,1.1014,primate,l,8
10,24,m,3,1,True,1.0307,human,a,16
10,24,m,3,2,True,0.4458,human,a,16
10,24,m,3,3,True,0.662,human,a,8
10,24,m,3,4,True,1.0617,human,a,16
10,24,m,3,5,True,0.4973,human,a,8
10,24,m,3,6,True,0.5545,human,a,8
10,24,m,3,7,True,4.1361,primate,l,16
10,24,m,3,8,True,0.558,human,a,16
10,24,m,3,9,True,0.668,human,a,36
10,24,m,3,10,True,1.9964,primate,l,16
10,24,m,3,11,True,0.573,primate,l,8
10,24,m,3,12,True,1.5387,primate,l,16
10,24,m,3,13,True,2.01,primate,l,36
10,24,m,3,14,True,1.3941,human,a,36
10,24,m,3,15,True,0.8939,primate,l,8
10,24,m,3,16,True,3.9623,primate,l,36
10,24,m,3,17,True,0.5795,human,a,8
10,24,m,3,18,True,1.14,human,a,36
10,24,m,3,19,True,1.6815,primate,l,8
10,24,m,3,20,True,0.6994,human,a,36
10,24,m,3,21,True,0.4998,human,a,36
10,24,m,3,22,True,0.5398,human,a,8
10,24,m,3,23,True,0.5798,human,a,16
10,24,m,3,24,True,1.2643,primate,l,8
10,24,m,3,25,True,1.9108,primate,l,8
10,24,m,3,26,True,2.1809,primate,l,16
10,24,m,3,27,True,0.7039,human,a,16
10,24,m,3,28,True,0.5697,human,a,16
10,24,m,3,29,True,0.9938,human,a,36
10,24,m,3,30,True,2.5361,primate,l,36
10,24,m,3,31,True,2.8348,primate,l,36
10,24,m,3,32,True,0.753,human,a,16
10,24,m,3,33,True,2.0428,primate,l,36
10,24,m,3,34,True,1.0466,primate,l,8
10,24,m,3,35,True,1.1402,primate,l,8
10,24,m,3,36,True,1.0616,primate,l,8
10,24,m,3,37,True,1.4058,human,a,36
10,24,m,3,38,True,2.2253,primate,l,16
10,24,m,3,39,True,0.7198,primate,l,8
10,24,m,3,40,True,0.8261,human,a,16
10,24,m,3,41,True,0.6874,human,a,16
10,24,m,3,42,True,1.3885,human,a,16
10,24,m,3,43,True,0.5559,human,a,8
10,24,m,3,44,True,2.3873,primate,l,16
10,24,m,3,45,True,2.3272,primate,l,36
10,24,m,4,1,True,2.8035,primate,l,16
10,24,m,4,2,True,0.7075,human,a,8
10,24,m,4,3,True,1.2526,primate,l,8
10,24,m,4,4,True,1.023,primate,l,8
10,24,m,4,5,True,1.7587,primate,l,16
10,24,m,4,6,True,1.5678,primate,l,16
10,24,m,4,7,True,0.6725,human,a,8
