vp_id,age,gender,block,trial,correct_key,reaction_time,target,key,size
08,24,w,1,1,True,0.7306,human,a,8
08,24,w,1,2,True,1.0117,primate,l,8
08,24,w,1,3,True,1.215,human,a,16
08,24,w,1,4,True,2.4755,human,a,36
08,24,w,1,5,True,2.1974,human,a,36
08,24,w,1,6,True,0.8093,human,a,16
08,24,w,1,7,True,1.0786,human,a,16
08,24,w,1,8,True,0.8069,human,a,8
08,24,w,1,9,True,0.7279,human,a,8
08,24,w,1,10,True,3.2052,primate,l,16
08,24,w,1,11,True,0.9868,human,a,8
08,24,w,1,12,True,0.9715,human,a,8
08,24,w,1,13,True,0.8187,human,a,8
08,24,w,1,14,True,2.9468,primate,l,16
08,24,w,1,15,True,0.8526,human,a,8
08,24,w,1,16,True,1.2564,primate,l,8
08,24,w,1,17,True,2.4271,primate,l,16
08,24,w,1,18,True,1.5499,human,a,16
08,24,w,1,19,True,0.5809,human,a,8
08,24,w,1,20,True,2.4173,primate,l,16
08,24,w,1,21,True,2.2878,primate,l,16
08,24,w,1,22,True,0.9189,human,a,8
08,24,w,1,23,True,2.8941,primate,l,16
08,24,w,1,24,True,0.6349,human,a,8
08,24,w,1,25,True,1.0136,primate,l,8
08,24,w,1,26,True,1.4746,primate,l,8
08,24,w,1,27,True,2.1951,primate,l,16
08,24,w,1,28,True,1.9589,primate,l,8
08,24,w,1,29,True,2.2216,primate,l,16
08,24,w,1,30,True,1.9085,human,a,36
08,24,w,1,31,True,1.1356,human,a,8
08,24,w,1,32,True,2.756,primate,l,36
08,24,w,1,33,True,1.3356,human,a,36
08,24,w,1,34,True,0.5917,human,a,16
08,24,w,1,35,True,3.1938,primate,l,36
08,24,w,1,36,True,0.7414,human,a,16
08,24,w,1,37,True,3.1432,primate,l,36
08,24,w,1,38,True,2.1429,primate,l,8
08,24,w,1,39,True,0.5959,human,a,8
08,24,w,1,40,True,3.7257,primate,l,36
08,24,w,1,41,True,0.6983,human,a,16
08,24,w,1,42,True,3.3397,primate,l,36
08,24,w,1,43,True,2.0843,human,a,36
08,24,w,1,44,True,0.6594,human,a,8
08,24,w,1,45,True,2.0106,primate,l,8
08,24,w,2,1,True,0.7428,human,a,36
08,24,w,2,2,True,0.7152,human,a,36
08,24,w,2,3,True,2.0059,primate,l,16
08,24,w,2,4,True,1.3378,primate,l,8
08,24,w,2,5,True,1.5294,primate,l,8
08,24,w,2,6,True,0.674,human,a,8
08,24,w,2,7,True,1.7399,primate,l,16
08,24,w,2,8,True,1.4947,primate,l,8
08,24,w,2,9,True,0.6977,human,a,8
08,24,w,2,10,True,1.7009,primate,l,16
08,24,w,2,11,True,0.9607,human,a,16
08,24,w,2,12,True,2.3844,primate,l,16
08,24,w,2,13,True,1.8272,primate,l,36
08,24,w,2,14,True,1.1706,human,a,36
08,24,w,2,15,True,0.8664,human,a,8
08,24,w,2,16,True,1.3301,primate,l,8
08,24,w,2,17,True,1.1031,primate,l,8
08,24,w,2,18,True,0.5385,human,a,8
08,24,w,2,19,True,3.0763,primate,l,36
08,24,w,2,20,True,0.6983,human,a,8
08,24,w,2,21,True,0.536,human,a,8
08,24,w,2,22,True,1.4056,primate,l,8
08,24,w,2,23,True,1.3217,primate,l,8
08,24,w,2,24,True,0.9793,primate,l,8
08,24,w,2,25,True,1.3389,primate,l,16
08,24,w,2,26,True,1.4922,primate,l,8
08,24,w,2,27,True,0.6493,human,a,8
08,24,w,2,28,True,1.7304,primate,l,36
08,24,w,2,29,True,0.7102,human,a,16
08,24,w,2,30,True,2.0201,primate,l,36
08,24,w,2,31,True,1.9758,primate,l,36
08,24,w,2,32,True,0.886,human,a,16
08,24,w,2,33,True,0.6182,human,a,8
08,24,w,2,34,True,1.0507,primate,l,16
08,24,w,2,35,True,0.8011,human,a,16
08,24,w,2,36,True,2.0767,primate,l,36
08,24,w,2,37,True,1.7549,primate,l,36
08,24,w,2,38,True,0.7186,human,a,36
08,24,w,2,39,True,1.8705,primate,l,36
08,24,w,2,40,True,2.6267,primate,l,16
08,24,w,2,41,True,1.9373,primate,l,16
08,24,w,2,42,True,0.7738,human,a,16
08,24,w,2,43,True,0.6224,human,a,8
08,24,w,2,44,True,2.0057,human,a,36
08,24,w,2,45,True,1.8667,primate,l,36
08,24,w,3,1,True,1.5351,primate,l,16
08,24,w,3,2,True,1.2572,human,a,16
08,24,w,3,3,True,0.6844,human,a,16
08,24,w,3,4,True,0.5791,human,a,8
08,24,w,3,5,True,1.1584,human,a,36
08,24,w,3,6,True,1.9663,primate,l,36
08,24,w,3,7,True,1.3844,primate,l,8
08,24,w,3,8,True,0.6693,human,a,8
08,24,w,3,9,True,1.679,primate,l,36
08,24,w,3,10,True,1.8808,primate,l,36
08,24,w,3,11,True,2.1888,primate,l,16
08,24,w,3,12,True,1.2406,primate,l,8
08,24,w,3,13,True,1.4035,primate,l,16
08,24,w,3,14,True,1.0408,human,a,36
08,24,w,3,15,True,0.6567,human,a,8
08,24,w,3,16,True,1.7163,primate,l,16
08,24,w,3,17,True,1.2321,primate,l,8
08,24,w,3,18,True,1.4695,primate,l,36
08,24,w,3,19,True,0.7124,human,a,8
08,24,w,3,20,True,0.7383,primate,l,8
08,24,w,3,21,True,0.5758,human,a,16
08,24,w,3,22,True,0.8613,human,a,36
08,24,w,3,23,True,1.3448,primate,l,36
08,24,w,3,24,True,1.3176,primate,l,16
08,24,w,3,25,True,1.8732,primate,l,36
08,24,w,3,26,False,1.2611,human,l,16
08,24,w,3,27,True,1.9651,primate,l,36
08,24,w,3,28,True,0.5937,human,a,16
08,24,w,3,29,True,0.7147,human,a,36
08,24,w,3,30,True,1.2251,human,a,36
08,24,w,3,31,True,3.1414,primate,l,36
08,24,w,3,32,True,2.0301,human,a,16
08,24,w,3,33,True,0.8106,human,a,36
08,24,w,3,34,True,0.5622,human,a,8
08,24,w,3,35,True,1.9049,primate,l,8
08,24,w,3,36,True,0.8545,human,a,16
08,24,w,3,37,True,0.5483,human,a,36
08,24,w,3,38,True,1.8426,primate,l,16
08,24,w,3,39,True,0.5885,human,a,8
08,24,w,3,40,True,0.6284,human,a,16
08,24,w,3,41,True,1.0063,human,a,16
08,24,w,3,42,True,1.175,primate,l,8
08,24,w,3,43,True,1.8599,primate,l,16
08,24,w,3,44,True,1.3098,primate,l,8
08,24,w,3,45,True,1.1672,human,a,36
08,24,w,4,1,True,3.5161,primate,l,36
08,24,w,4,2,True,1.6491,primate,l,16
08,24,w,4,3,True,1.0621,primate,l,36
08,24,w,4,4,True,1.5128,primate,l,16
08,24,w,4,5,True,1.2845,primate,l,16
08,24,w,4,6,True,1.6291,primate,l,36
08,24,w,4,7,True,0.8704,human,a,8
08,24,w,4,8,True,1.0309,primate,l,8
08,24,w,4,9,True,0.6548,human,a,36
08,24,w,4,10,True,0.6358,human,a,36
08,24,w,4,11,True,1.1366,primate,l,8
08,24,w,4,12,True,0.6325,human,a,8
08,24,w,4,13,True,0.7064,human,a,36
08,24,w,4,14,True,2.54,primate,l,36
08,24,w,4,15,True,1.4563,primate,l,16
08,24,w,4,16,True,0.6519,human,a,36
08,24,w,4,17,True,1.5863,primate,l,36
08,24,w,4,18,True,0.6288,human,a,8
08,24,w,4,19,True,0.4777,human,a,36
08,24,w,4,20,True,1.3611,primate,l,16
08,24,w,4,21,True,1.8122,primate,l,16
08,24,w,4,22,True,1.3628,primate,l,16
08,24,w,4,23,True,1.0539,primate,l,8
08,24,w,4,24,True,0.7869,human,a,36
08,24,w,4,25,True,0.825,human,a,36
08,24,w,4,26,True,1.1917,primate,l,36
08,24,w,4,27,True,0.5281,human,a,8
08,24,w,4,28,True,0.9133,primate,l,8
08,24,w,4,29,False,1.1194,human,l,16
08,24,w,4,30,True,1.7023,primate,l,8
08,24,w,4,31,True,2.2105,primate,l,16
08,24,w,4,32,True,0.9102,human,a,16
08,24,w,4,33,True,1.5358,primate,l,36
08,24,w,4,34,True,1.1354,primate,l,8
08,24,w,4,35,True,0.6692,human,a,36
08,24,w,4,36,True,1.8067,primate,l,36
08,24,w,4,37,True,1.881,primate,l,36
08,24,w,4,38,True,0.7013,human,a,36
08,24,w,4,39,True,0.6304,human,a,8
08,24,w,4,40,True,1.4487,primate,l,16
08,24,w,4,41,True,1.4685,primate,l,8
08,24,w,4,42,True,1.0642,primate,l,8
08,24,w,4,43,True,1.4505,primate,l,16
08,24,w,4,44,True,1.5401,primate,l,36
08,24,w,4,45,True,0.679,human,a,16
08,24,w,5,1,True,1.275,primate,l,8
08,24,w,5,2,True,0.6076,primate,l,8
08,24,w,5,3,True,0.6512,human,a,8
08,24,w,5,4,True,1.0958,human,a,8
08,24,w,5,5,True,0.6321,human,a,16
08,24,w,5,6,True,0.7802,human,a,36
08,24,w,5,7,True,0.6759,human,a,8
08,24,w,5,8,True,1.4963,primate,l,16
08,24,w,5,9,True,1.463,primate,l,36
08,24,w,5,10,True,0.845,human,a,36
08,24,w,5,11,True,0.7737,human,a,36
08,24,w,5,12,True,0.677,human,a,8
08,24,w,5,13,True,0.8841,primate,l,8
08,24,w,5,14,True,1.2905,primate,l,16
08,24,w,5,15,True,0.7841,human,a,16
08,24,w,5,16,True,1.1056,primate,l,16
08,24,w,5,17,True,1.6959,primate,l,36
08,24,w,5,18,True,0.5504,human,a,36
08,24,w,5,19,True,0.7282,human,a,36
08,24,w,5,20,True,0.6766,human,a,8
08,24,w,5,21,True,1.3115,primate,l,8
08,24,w,5,22,True,0.7053,human,a,8
08,24,w,5,23,True,0.8228,primate,l,16
08,24,w,5,24,True,0.8676,primate,l,16
08,24,w,5,25,True,1.6052,primate,l,36
08,24,w,5,26,True,1.385,primate,l,36
08,24,w,5,27,True,1.1384,primate,l,36
08,24,w,5,28,True,1.195,human,a,36
08,24,w,5,29,True,1.0228,primate,l,16
08,24,w,5,30,True,0.6799,human,a,8
08,24,w,5,31,True,0.794,human,a,36
08,24,w,5,32,True,0.6036,human,a,8
08,24,w,5,33,True,1.5939,primate,l,36
08,24,w,5,34,True,1.3475,primate,l,8
08,24,w,5,35,True,1.1591,primate,l,8
08,24,w,5,36,True,1.1072,primate,l,36
08,24,w,5,37,True,0.6934,human,a,8
08,24,w,5,38,True,0.5349,human,a,36
08,24,w,5,39,False,0.8378,primate,a,16
08,24,w,5,40,True,0.6712,human,a,8
08,24,w,5,41,True,0.6694,human,a,36
08,24,w,5,42,True,1.0514,primate,l,8
08,24,w,5,43,True,1.0217,primate,l,36
08,24,w,5,44,True,0.7199,human,a,8
08,24,w,5,45,True,0.5818,human,a,16
08,24,w,6,1,True,1.213,primate,l,36
08,24,w,6,2,True,0.5067,human,a,8
08,24,w,6,3,True,0.4705,human,a,8
08,24,w,6,4,True,0.513,human,a,8
08,24,w,6,5,True,1.1262,primate,l,8
08,24,w,6,6,True,2.2225,primate,l,36
08,24,w,6,7,True,0.8171,human,a,8
08,24,w,6,8,True,0.7146,primate,l,8
08,24,w,6,9,True,1.0264,human,a,36
08,24,w,6,10,True,2.1252,primate,l,36
08,24,w,6,11,True,1.5579,primate,l,36
08,24,w,6,12,True,0.6705,primate,l,8
08,24,w,6,13,True,0.549,human,a,16
08,24,w,6,14,True,0.5645,human,a,8
08,24,w,6,15,True,0.5943,human,a,16
08,24,w,6,16,True,0.4978,human,a,16
08,24,w,6,17,True,0.6832,human,a,36
08,24,w,6,18,True,0.6049,human,a,16
08,24,w,6,19,False,0.8028,human,l,8
08,24,w,6,20,True,1.5408,primate,l,36
08,24,w,6,21,True,0.9315,human,a,36
08,24,w,6,22,True,0.8065,human,a,36
08,24,w,6,23,True,0.7388,human,a,16
08,24,w,6,24,True,1.0783,primate,l,8
08,24,w,6,25,True,1.5582,primate,l,36
08,24,w,6,26,True,1.0598,human,a,16
08,24,w,6,27,True,0.5007,human,a,8
08,24,w,6,28,True,1.2458,primate,l,8
08,24,w,6,29,True,0.8968,human,a,16
08,24,w,6,30,True,0.635,human,a,36
08,24,w,6,31,True,1.1866,primate,l,8
08,24,w,6,32,True,1.2373,primate,l,36
08,24,w,6,33,True,0.5453,human,a,8
08,24,w,6,34,True,0.7558,human,a,8
08,24,w,6,35,True,0.5137,human,a,8
08,24,w,6,36,True,0.5497,human,a,36
08,24,w,6,37,True,0.5326,human,a,8
08,24,w,6,38,True,0.4735,human,a,8
08,24,w,6,39,True,1.0634,human,a,36
08,24,w,6,40,True,1.2504,primate,l,8
08,24,w,6,41,True,0.5656,human,a,8
08,24,w,6,42,True,1.3078,primate,l,16
08,24,w,6,43,True,1.192,primate,l,16
08,24,w,6,44,True,0.6207,human,a,36
08,24,w,6,45,True,0.5463,human,a,16
08,24,w,7,1,True,1.1638,primate,l,16
08,24,w,7,2,True,0.9801,primate,l,8
08,24,w,7,3,True,0.5967,primate,l,8
08,24,w,7,4,True,1.0878,human,a,8
08,24,w,7,5,True,0.8155,primate,l,16
08,24,w,7,6,True,0.573,human,a,16
08,24,w,7,7,True,0.7128,primate,l,8
